Name : RNG Data
TYPE : TSP
209 30.791 39.5516
210 50.7621 44.8568
211 38.589 40.9178
212 36.3512 39.0579
213 30.7971 36.3584
214 47.5158 46.3369
215 31.8206 31.9555
216 37.7477 35.8167
217 49.4488 42.5168
218 33.418 41.0393
219 43.7506 44.9159
220 36.2808 33.6931
221 36.3646 44.3481
222 53.1435 46.4522
223 49.8972 47.9323
224 41.466 38.8385
225 39.7355 43.9191
GTSP_SET_SECTION
1 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 -1
2 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 -1
3 37 38 39 -1
4 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 -1
5 187 188 189 -1
6 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 -1
